[Visionary] 0day-sub	远鉴字幕组&HAFEN字幕组联合制作
Aw, you're a twig, mijo. Have some more.	瞧 你瘦的跟猴似的 多吃点
No, gracias.	够了 谢谢
I asked if you would like more tamales.	我问你要不要再吃几个玉米粉蒸肉卷呢
S-Si?	吃..吃吧
That's what I thought you said!	我就知道你喜欢吃这个
Abuelita runs the house just as Mamá Imelda did.	我奶奶管理着这个家
No music!	不要音乐
No music!	不要音乐
♪ Aunque la vida... ♪	就算要我付出..
No music!	不要音乐
I think we're the only family in Mexico who hates music.	我觉得全墨西哥只有我们家不喜欢音乐了
And my family's fine with that.	我家人都觉得 没音乐也没啥问题
But me...	但是我
Be back by lunch, mijo.	午饭前回来哦 米格
Love you, Mamá!	好的 妈妈
I'm not like the rest of my family.	我可不像他们那样 我就是喜欢音乐
- Hola, Miguel. - Hola.	- 早啊 米格 - 早上好
- Muchas gracias! - De nada, Miguel!	- 我拿一个 谢谢 - 拿吧 米格
He-hey, Dante!	嘿 丹丹
Sit.	起来
Down.	趴下
Roll over.	翻滚
Shake.	摇一摇
Fist bump.	握拳
Good boy, Dante!	聪明的丹丹
I know, I'm not supposed to love music.	我知道 我不应该喜欢音乐的
But it's not my fault.	但这不能怪我
It's his.	要怪他
Ernesto de la Cruz.	欧内斯托·德拉库斯
The greatest musician of all time.	世界上最伟大的音乐家
Here in this very plaza, the young Ernesto de la Cruz	正是在这座广场上 年轻的欧内斯托·德拉库斯
took his first steps toward becoming	迈出了他音乐事业的第一步
the most beloved singer in Mexican history.	最终成为了墨西哥历史上最受欢迎的歌手
He started out a total nobody from Santa Cecilia, like me.	他最开始在圣塞西莉亚一点名气都没有
But when he played music,	可他一开口唱歌
he made people fall in love with him.	人们就疯狂的迷上了他
He starred in movies.	他还演过电影
He had the coolest guitar.	他有最炫酷的吉他
He could fly!	他还能飞
And he wrote the best songs.	他写的歌也是最棒的
But my all-time favorite is...	但我最喜欢的一首是
♪ Remember me ♪	请记住我
♪ Though I have to say goodbye ♪	虽然我要与你们告别
♪ Remember me ♪	请记住我
♪ Don't let it make you cry ♪	不要因此流泪
♪ For even if I'm far away ♪	虽然我要离你远去
♪ I hold you in my heart ♪	你住在我心底
♪ I sing a secret song to you ♪	在我们分别的每个夜晚
♪ Each night we are apart Remember me ♪	我都会偷偷为你唱一曲《请记住我》
♪ Though I have to travel far ♪	虽然我要去远方
♪ Remember me ♪	请记住我
♪ Each time you hear a sad guitar ♪	当你每次听见悲伤的吉他曲
♪ Know that I'm with you the only way that I can be... ♪	我知道这是我与你在一起唯一的方法
♪ Until you're in my arms again ♪	直到我再次拥抱你
He lived the kind of life you dream about...	他过着大家梦寐以求的生活
♪ Remember me ♪	请记住我
Until 1942.	可惜在1942年
When he was crushed by a giant bell.	一个掉下来的大钟把他砸死了
I wanna be just like him.	我就想成为他那样的人
Sometimes, I look at de la Cruz...	有时候 我看着歌神
and I get this feeling.	我就有一种感觉
Like we're connected somehow.	好像我和他之间有某种联系
Like if he could play music...	我总觉得他能成为音乐家
maybe someday, I could too!	总有一天 我也可以
If it wasn't for my family.	要是家里人不拦着我就好了
Ay, ay, ay, muchacho!	唉 你这孩子啊
Huh?	啊?
I asked for a shoe shine, not your life story.	我让你擦鞋 不是听你叨叨家事
Oh, yeah, sorry.	哦 对 对不起
I just can't really talk about any of this at home, so.	在我们家里 我绝对不能提唱歌
Look, if I were you,	孩子 我要是你
I'd march right up to my family and say,	我就大声的跟家里人说
"Hey, I'm a musician. Deal with it!"	嘿 我就想成为一名音乐家 你们要怎样
I could never say that.	我可不敢这么说
You are a musician, no?	你在搞音乐吧
I-I-I don't know.	我..我不知道
I mean, I only really play for myself.	我是说 我只是唱给自己听
Ah! Did de la Cruz become the world's best musician	啊! 难道歌神能成为大音乐家是靠天天藏着掖着
by hiding his sweet, sweet skills?	他那甜美的嗓音和演唱技巧？
No!	不
He walked out onto that plaza	他经常去那个广场
and he played out loud!	然后大声的唱出来
Mira, Mira, they're setting up for tonight.	你看那边 他们在给今天晚上的
The music competition for Día de Muertos.	亡灵节才艺大赛布置场地
You wanna be like your hero? You should sign up!	你想像歌神一样么 就去报名啊
Unh-unh. My family would freak!	啊 那我家里人会很生气的
Look, if you're too scared, then, well, have fun making shoes.	你要是这么胆小 那就只好擦一辈子鞋了
Come on, what did de la Cruz always say?	别怕 想想歌神是怎么说的?
Seize your moment?	抓住你面前的机会
Show me what you got, muchacho.	让我看看你的水平怎么样
I'll be your first audience.	我当你的第一位听众
Miguel!	米格
Ah!	啊
Abuelita!	奶奶
What are you doing here?	你在这干什么呢
Um... oh... uh...	额..额..
You leave my grandson alone!	你离我孙子远点
Doña, please! I was just getting a shine.	你疯了吧 我刚刚只是在让他擦鞋
I know your tricks, mariachi.	我知道你打的什么主意
What did he say to you?	他刚才对你说什么了
He was just showing me his guitar.	他给我看了看他的吉他
Shame on you!	真不要脸
My grandson is a is a sweet little	我的孙子就像一个
angelito, perrito, cielito!	可爱的小天使
He wants no part of your music, mariachi.	他可不想掺和你的什么音乐
You keep away from him.	你离他远点
Ay, pobrecito!	哦 我的小心肝
Estas bien, mijo.	刚才奶奶担心坏了
You know better than to be here in this place.	你应该知道 不能来这种地方
You will come home. Now.	你赶紧给我回家
How many times have we told you?	我们跟你说过多少次了
That plaza is crawling with mariachis.	那广场上全是些乱七八糟的人
Yes, Tío Berto.	我知道 贝尔托叔叔
No, no, no, no, no.	别别别
Hey, go away, you. Go!	快点给我滚 滚
It's just Dante.	别打丹丹
Never name a street dog.	不要给野狗取名字
They'll follow you forever.	以后赶都赶不走
Now, go get my shoe.	去 把我的鞋捡回来
I found your son in Mariachi Plaza.	我又在那广场找到你儿子了
Ay, Miguel?	啊 米格?
You know how abuelita feels about the plaza.	你不是知道 奶奶不让你去那个广场么
I was just shining shoes.	我是去那擦鞋啊
A musician's shoes.	给唱歌的擦鞋
But the plaza's where the foot traffic is.	但是广场上的人很多啊
If abuelita says, "No more plaza", then no more plaza.	既然奶奶说了 不要去广场 那就不要去广场
But what about tonight?	那我今天晚上呢
What's tonight?	今天晚上怎么了
Well, they're having this talent show.	那个 他们要举办才艺大赛
- A-and I thought I might... - Sign up?	- 我想我可以 - 报名?
Well, maybe?	或许可以试试吧
You have to have talent to be in a talent show.	你得有才艺 才能上台表演
What are you gonna do? Shine shoes? Oh!	你有什么可以表演的呢 擦鞋子么
It's Día de los Muertos. No one's going any where.	今天是亡灵节 都在家好好呆着
Tonight is about family.	今天晚上要和家人在一起
Ofrenda room. Vámonos.	你跟我来 干点正事
Don't give me that look.	别一脸不高兴的样子
Día de los Muertos is the one night of the year	亡灵节是一年中
our ancestors can come visit us.	过世的亲人回来看望我们的日子
We put their photos on the ofrenda	我们把他们的照片供奉在灵堂上
so their spririts can cross over.	他们的灵魂才能回来
That is very important.	这可是非常重要的事
If we don't put them up, they can't come.	要是没把他们的照片供奉起来 他们就回不来了
We made all this food.	我们做了这些好吃的
Set out the things they loved in life, mijo.	摆上他们以前最喜欢的东西
All this work to bring the family together.	都是为了能让他们回来和亲人们聚一聚
I don't want you sneaking off to who-knows-where.	你可别给我出去到处乱跑
Huh! Where are you going?	嗯?你要去哪
- I thought we were done. - Ay, Dios mío.	- 我以为没我的事了 - 过来 孩子
Being part of this family means being here for this family.	我们是一家人 就应该待在一起
I don't want to see you end up like...	我可不想看到最后像那个...
Like Mamá Coco's papá?	像太奶奶的爸爸?
Never mention that man!	不许你提那个人
He's better off forgotten.	最好把他给我忘了
- But you're the one who... - Eh, thchhsss!	- 是你提的... - 嘘
- I was just... - Tchsshh!	- 我只是 - 嘘
- But... - Tchshh.	- 但是.. - 嘘
- I... - Shhh.	- 我.. - 嘘
Papá?	爸爸
Papá is home?	爸爸回来了?
Mamá, cálmese, cálmese.	妈妈 别着急 别着急
Papá is coming home?	爸爸要回来了么
No, Mamá, it's okay. I'm here.	不 妈妈 没事的 有我在
Who are you?	你是谁
Ay... rest, Mamá.	唉 休息吧 妈妈
I'm hard on you because I care, Miguel.	我管你也是因为我爱你 米格
Miguel?	米格
Miguel?	米格
Ay.	唉
What are we going to do with that boy?	这孩子要拿他怎么办啊
Ha ha ha, you're right.	哈哈哈 我知道了
That's just what he needs.	他需要的是这个
Huah!	啊
Oh, it's you. Get in here.	是你啊 快进来
Come on, Dante. Hurry up.	快点 丹丹 快点
You're gonna get me in trouble, boy.	你可千万别给我找麻烦
Someone can hear me.	别人会听见的
I wish someone wanted to hear me.	要是有听众就好了
Other than you.	当然 是说除了你以外的听众
Ew, okay!	好了 好了
Perfecto.	音调好了
I have to sing.	我一定要唱歌
I have to play.	我一定要演奏
The music, it's... it's not just in me.	音乐不仅在我心里
It is me.	音乐就是我的生命
When life gets me down.	无论人生多么艰难
I play my guitar.	我会弹吉他
The rest of the world may follow the rules, but I...	无论他们怎么劝我循规蹈矩
must follow my heart.	我要顺从我的内心
Ugh.	啊
You know that feeling...	你有过那种
like there's a song in the air	一首歌好像就是
and it's playing just for you?	为你而唱的感觉么
♪ A feeling so close ♪	心灵已相通
♪ You could reach out and touch it ♪	伸手便可触及
♪ I never knew ♪	我从没有感觉过
♪ I could want something so much ♪	自己如此的渴望
♪ But it's true ♪	这份感情
You must have faith, sister.	你要有信心 修女
Oh, but Padre, he will never listen.	可是神父 他是不会听我的
He will listen to music!	那就用音乐来说服他
♪ Only a song, only a song ♪	只有这歌 只有这歌
♪ Has the power to change a heart ♪	才有能力改变你的心
Never underestimate the power of music.	永远都不要低估音乐的力量
But my father,	神父
he will never give his permission.	但是他是绝对不会同意的
I am done asking permission.	我受够了征求别人的同意
When you see your moment,	遇到好机会
you mustn't let it pass you by.	决不能轻易放过
You must seize it.	你一定要抓住机会
Señor de la Cruz,	请问德拉库斯先生
what did it take for you to seize your moment?	您是如何抓住了自己面前的机会呢?
I had to have faith in my dream.	我必须坚守我的梦想
No one was going to hand it to me.	成功不是靠别人施舍来的
It was up to me to reach for that dream.	我必须凭自己的努力去追逐梦想
Grab it tight...	坚持梦想
and make it come true.	努力实现梦想
No more hiding, Dante.	我不会再躲躲藏藏了 丹丹
I gotta seize my moment.	我要去抓住机会
I'm gonna play in Mariachi Plaza if it kills me.	今天晚上广场的才艺大赛 我一定要去
Día de Muertos has begun!	亡灵节的钟声敲响了
No, no, no, no, no.	不不不
We have to make a clear path.	我们要撒出一条路来
The petals guide our ancestors home.	这些花瓣会指引祖先们回家
- Mamá! - Hunh!	- 妈妈 - 啊
Where should we put this table?	这张桌子要放在哪
In the courtyard, mijos.	放到院子里
You want it down by the kitchen?	放到厨房外面么
Si, eh, next to the other one.	对 跟另一张桌子摆在一起
Get under, get under!	到下面去 躲到下面去
Miguel?	米格
Uh, nothing.	没事
Mamá, Papá, I...	妈妈 爸爸 我
Miguel, your abuelita have	米格 你的奶奶
the most wonderful idea.	刚刚提出了一个非常好的想法
We've all decided...	我们决定好了
it's time you joined us in the workshop!	是时候让你学做鞋啦
What?	什么
No more shining shoes.	以后不用再去擦鞋了
You will be making them, every day, after school.	可以做鞋了 每天放学回来就能做
Oh, our Miguelitititito	噢 我奶奶最爱的小米格
carrying on the family tradition.	正好在亡灵节的这一天
And on Día de los Muertos!	学习咱们的祖传手艺了
Your ancestors would be so proud.	老祖宗们一定会为你感到骄傲的
You'll craft huaraches just like your Tía Victoria.	你可以像你维多利亚老奶奶那样 做凉鞋
And wing tips just like your Papá Julio.	或者像你太爷爷胡里奥那样 做皮鞋
But what if I'm no good at making shoes?	可是 我要是做不好怎么办呢
Ay, Miguel.	米格
You have your family here to guide you.	有这么一大家子人指导你呢
You are a Rivera.	你是咱里韦拉家的人
And a Rivera is?	咱们里韦拉家的人是干什么的
A shoemaker...	都会做鞋
through and through.	祖传的手艺
That's my boy!	真是我的好儿子!
Haha! Berto! Break out the good stuff!	哈哈!大哥!今晚我们吃顿好的!
Dante!	丹丹!
No, Dante, stop!	不 丹丹 不能吃!
Ah!	不 不 不 不 不!
No, no, no, no, no!	不
No.	不
De la Cruz' guitar?	啊?德拉库斯的吉他?
Papá?	爸爸?
Mamá Coco.	可可太奶奶
Is your papá Ernesto de la Cruz?	你的爸爸是歌神欧内斯托·德拉库斯?
Papá! Papá!	爸爸!爸爸!
Papá, Papá!	爸爸 爸爸!
It's him!	是他!
I know who my great-great-grandfather was!	我知道我的曾曾爷爷是谁了!
Miguel, get down from there.	米格 快从那下来
Mamá Coco's father was Ernesto de la Cruz!	妈妈 可可太奶奶的爸爸就是歌神欧内斯托·德拉库斯!
What are you talking about?	你到底在说什么?
I'm gonna be a musician!	我就要成为音乐家了!
What is all this?	这些都是什么?
You keep secrets from your own family?	你居然瞒着你的家人做这种事?
It's all that time he spends in the plaza.	肯定是因为他经常跑去那个广场
Fills his head with crazy fantasies.	他的脑子里每天都是疯狂的幻想
It's not a fantasy.	这不是幻想
That man was Ernesto de la Cruz.	这个人就是歌神欧内斯托·德拉库斯
The greatest musician of all time.	有史以来最伟大的音乐家
We've never known anything about this man.	我们根本就不知道这个人
Or whoever he was, he still abandoned his family.	不管他是谁 他抛弃了家人
It's no future for my son.	我的儿子绝对不能做这种事
Well, Papá, y-you said my family would guide me.	爸爸 你说过家人会是我的向导
Well, de la Cruz is my family.	德拉库斯就是我的家人
I'm supposed to play music.	那我就可以去做音乐
Never! That man's music was a curse.	不行!那个人的音乐对我们家就是祸害
I will not allow it.	我绝不允许你碰音乐
- If you would just... - Miguel.	- 只要你们... - 米格
You will listen to your family.	你必须听家里人的话
No more music.	不许再碰音乐
Just listen to me play.	只要听我弹一次就好
End of argument.	讨论结束
You want to end up like that man?	你想像那个男人一样吗?
Forgotten?	一样没有人记得?
Left off your family's ofrenda?	一样照片上不了家族灵坛吗?
I don't care if I'm on some stupid ofrenda.	我才不在乎能不能上那个愚蠢的灵坛呢
- No! - Mamá!	- 不! - 妈妈!
There.	好了
No guitar.	吉他没了
No music.	音乐也没了
Aw, come.	没事
You'll feel better after you eat with your family.	一家人吃个饭就什么都过去了
I don't wanna be in this family!	这样的家我才不想要!
Miguel, Miguel!	米格 米格!
I-I wanna play in the plaza.	我 我想在广场上表演
Like de la Cruz.	就像德拉库斯那样
C-can I still sign up?	我 我还能报名吗?
You got an instrument?	你有乐器吗?
No. But if I can borrow a guitar.	没有 不过如果我能借到一把吉他
Musicians gotta bring their own instruments.	音乐家们必须要带自己的乐器登台
You find a guitar, kid, I'll put you on the list.	孩子 你找到吉他的话 我就把你加进名单
Hey, excuse me, can I borrow your guitar?	嗨 不好意思 我能借你的吉他吗?
Sorry, muchaco.	抱歉 孩子
You guys have a spare guitar?	你们有多余的吉他吗?
No.	没有
I need a guitar just for a little bit.	我想要借下你们的吉他 就一小会儿
Get outta here, kid.	一边去 小屁孩
Great-great-grandfather.	曾曾爷爷
What am I supposed to do?	我该怎么办?
No, no, no, no. Dante, stop.	不 不 不 不 丹丹 安静
Cállate, shh.	别叫 安静
I'm sorry.	抱歉
Señor de la Cruz.	德拉库斯先生
Please don't be mad.	请不要生气
I-I'm Miguel.	我 我是米格
Your great-great-grandson.	您的曾曾孙子
I-I need to borrow this.	我 我需要借一下这个
Our family thinks music is a curse.	我们家认为音乐是不是好东西
None of them understand. But I know you would have.	他们没有人理解我 但是我知道您会的
You would have told me to follow my heart.	你会告诉我要顺从自己的心
To seize my moment.	去抓住机会
So, if it's all right with you...	所以 如果您不介意的话...
I'm gonna play in the Plaza.	我想去广场上表演
Just like you did!	就像您一样!
What's going on?	怎么了?
Somebody stole de la Cruz' guitar.	有人偷了歌神的吉他
The window is broken, look!	窗子被打破了 快看!
All right, who's in there?	是谁 谁在那?
I'm sorry, i-it's not what it looks like.	对不起 事情 事情不是你想的那样
De la Cruz is my...	德拉库斯是我的...
There's nobody here!	里面没人!
- Miguel! - Mamá!	- 米格! - 妈妈!
Miguel, come home!	米格 回家吧!
Dios mio, little boy! Are you okay?	天啊 孩子 你没事儿吧?
Here, let me help you.	来 让我帮你一把
Thanks. I...	谢谢您 我...
Do you mind?	你干什么?
Look how big she's getting.	快看她都多大了
Uh! Dante?	丹丹?
You can see me?	你能看见我?
Wait! What's going on?	等等!这是怎么回事?
Dante! Dante!	丹丹!丹丹!
Oh, I'm sorry, I'm sorry.	抱歉 对不起
Miguel?	米格?
- Miguel? - Miguel?	- 米格? - 米格?
Y-you're here!	你 你过来了!
Here here.	你过来这边了
And you can see us?	你能看见我们?
Our Miguelitititito!	我们的小米格乖宝贝!
Remind me how I know you?	介意告诉我你是谁吗?
We're your family, mijo.	我们都是你的家人啊 亲爱的
Tía Rosita?	罗西塔姨奶奶?
Si.	对
Papá Julio?	太爷爷胡里奥?
Hola!	嗨!
Tía Vic...toria?	维多...利亚姨奶奶?
He doesn't seem entirely dead.	他看起来不像是完全死了
He's not quite alive, either.	但他看起来也不像是个活人
We need Mamá Imelda.	我们去找伊梅尔达妈妈
She'll know how to fix this.	她会知道该怎么做
Oye!	在这呢!
It's Mamá Imelda!	伊梅尔达妈妈出事了!
She couldn't cross over!	她今晚过不来了!
She's stuck!	她被拦住了!
On the other side!	拦在那一边了!
Tío Oscar?	奥斯卡舅爷爷?
Tío Felipe?	费利佩舅爷爷?
Oh, hey, Miguel.	嗨 米格
I have a feeling this has something to do with you.	我怎么感觉这件事跟你有点关系
But if Mamá Imelda can't come to us...	但是如果伊梅尔达妈妈今晚过不来...
Then we are going to her!	那我们就去那边找她!
- Whoa! - Vámonos!	走吧!
Come on, Miguel, it's-it's okay.	来吧 米格 这 这没事的
Dante?	丹丹?
Dante!	丹丹!
Dante, wait up!	丹丹 等一下!
You've gotta stay with me, boy.	你得跟紧我 丹丹
You don't know...	你不知道...
where...	这儿...
This isn't a dream, then.	这居然真的不是梦
You're all really out there.	你们真的都在这儿
You thought we weren't?	那你以为我们在哪?
Oh, I don't know.	我也不知道
I thought it might have been one of those made-up things...	我以为这又是一个大人骗小孩的故事呢
that adults tell kids, like...	就像大人们说的 说...
vitamins.	多吃菜长得快
Miguel, vitamins are a real thing.	米格 多吃蔬菜就是有好处
Well, now I'm thinking maybe they could be.	好吧 我现在是有点相信了
Mija, it's not nice to stare at...	宝贝儿 盯着人看不礼...
Ay, Santa Ma...	啊我的上帝
Are those?	那些是?
Alebrijes!	吉祥物爱波瑞吉!
- But those are... - Real alebrijes.	- 但是那些是... - 活的爱波瑞吉
Spirit creatures.	神奇的生物
They guide souls on their journey.	他们会给亡灵引路
Watch your step, they make cacitas everywhere.	小心脚下 他们可是喜欢到处拉屎
Welcome back to the Land of the Dead.	欢迎回到亡灵之地
Please have all offerings ready for re-entry.	请准备好所有需要申报的物品
Welcome back.	欢迎回来
Anything to declare?	有需要申报的吗?
Some churros, from my family.	一些油条 家里人拿的
How wonderful!	慢慢享用!
If you're experiencing travel issues...	如果您在入关时遇到困难...
Agents at the Department of Family Reunion	家庭团聚办理处可以
are available to assist you.	为您提供帮助
Next family, please.	下一个家庭
Oh, your photos are in your son's ofrenda.	两位的照片就在你们儿子家的灵坛上
Have a great visit.	祝您旅途愉快
- Gracias. - Gracias.	- 谢谢 - 谢谢
And remember to return before sunrise.	请务必在日出前返回
Enjoy your visit!	祝您旅途愉快!
Next?	下一位?
Your photo's on your dentist's ofrenda.	您的照片摆在牙医家的灵坛上
Enjoy your visit.	祝您旅途愉快
Grashiash.	非常感谢
Next?	下一位?
Yes, it is I, Frida Kahlo.	是 就是我 大画家弗里达·卡罗
Shall we skip the scanner?	不用刷脸了吧?
I'm on so many ofrendas	我的照片摆在太多的灵坛上了
it will just overwhelm your blinky thingy.	刷的话怕是会让你们的小机器过载死机呢
Whoa, shoot.	哦 抱歉
Looks like no one put up your photo...	看起来没有人供奉你的照片呢...
Frida?	弗里达?
Okay, when I said I was Frida, just now...	好吧 刚刚我说我是弗里达是吧
That.	刚刚
That was a lie.	其实我撒了个谎
And I apologize for doing that.	非常不好意思我道歉
No photo on an ofrenda, no crossing the bridge.	没有照片的话 就不能过桥
You know what?	这样吧?
I'm just gonna zip right over. You won't even know I'm gone.	我神不知鬼不觉的过去 你就当没看见
Almost... there...	就快...到了...
Just a little... further...	就差...一点点...
Upsy daisy.	给我起来
Fine. Okay. Fine, who cares?	好吧 好吧 算了 谁在乎这个?
Dumb flower bridge!	该死的花瓣桥!
Aw, I don't know what I'd do if no one put up my photo.	要是没人供奉我的照片我也没什么办法呢
Next?	下一位?
Oh, come mijo, it's our turn.	快来亲爱的 到我们了
Welcome back, amigo.	欢迎回来 朋友们
Anything to declare?	有什么需要申报的吗?
A-as a matter of fact...	其 其实我们还真的...
Yes.	有
Hola.	嗨
Paging Marta Gonzales-Ramos.	呼叫玛尔塔·冈萨雷斯-拉莫斯
Please report to Level Seven.	请上报给第七级人员
I miss my nose.	好想念我的鼻子
Come on, help us out, amigo.	拜托 帮帮忙吧 朋友
We gotta get to a dozen ofrendas tonight.	我们今晚要去好多家呢
We are not visiting your ex-wife, Stanley,	我们今晚才不会去你以前的老婆家过节
por Día de Muertos.	想都别想
I demand to speak to the person in charge.	我要和管事的人说话
I'm sorry, señora, it says here	抱歉 女士 这上面说
no one put up your photo.	真的没有人供奉你的照片
My family always, always put my photo up in the ofrenda	我的家人每年 每年都会把我的照片摆在灵坛上
That devil box tells you nothing but lies.	这个愚蠢的破盒子就是在撒谎
Mamá Imelda?	伊梅尔达妈妈?
Oh, mi familia.	哦 我的孩子们
They wouldn't let me cross the bridge.	他们就是不让我过桥
Tell this woman and her devil box	快告诉这个女人和她的破盒子
that my photo is in the ofrenda.	我的照片一直就在灵坛上
Well, w-we never made it to the ofrenda.	那个 我 我们还没有看到灵坛
What?	什么?
We ran into a...	我们遇到了...
Hunh! Miguel?	米格?
Mamá Imelda.	曾曾奶奶
What is going on?	到底怎么回事?
You the Rivera family?	你们都是里韦拉家的?
Well, you're cursed.	是这样 你被诅咒了
What?	什么?
Día de los Muertos is a night to give to the dead.	亡灵节是给亡灵们送东西的
You stole from the dead.	可是你居然偷东西
But I wasn't sealing the guitar.	可是我不是在偷那把吉他
Guitar?	吉他?
It was my great-great-grandfather's.	那是我曾曾爷爷的
He would have wanted me to have it.	他肯定会把吉他借我的
Ah-ah-ah! We do not speak of that musician.	停停停!不许提那个搞音乐的
He is dead to this family.	咱们家里早就当他死了
Uh, you're all dead.	那个 你们都死了啊
Achoo!	阿嚏!
I am sorry, uh, who's alebrije is that?	抱歉 这 这是谁的爱波瑞吉?
That's Dante.	这是丹丹
He sure doesn't look like an alebrije.	他长得可真不像爱波瑞吉
He just looks like a plain old dog.	他看起来就像一条普通的老狗
Or a sausage someone dropped in a barbershop.	或者说就像一根沾了几根头发的香肠也行
Whatever he is, I am- achoo!	不管他是什么 我 阿嚏!
terribly allergic.	对他严重过敏
But Dante doesn't have any hair.	但是丹丹根本就没有毛
And I don't have a nose and yet here we are.	我还没有鼻子呢但是我就是过敏了
Achoo!	阿嚏!
But none of this explains why I couldn't cross over.	你这都解释不了为什么就我过不去那座桥
You took my photo off the ofrenda?	你把我的照片从灵坛上拿下来了?
It was an accident.	这是个意外
How do we send him back?	到底应该怎么把他送回去?
Well, since it's a family matter...	原来是家务事...
The way to undo a family curse is	解除家庭诅咒的办法就是
to get your family's blessing.	获得家人的祝福
That's it?	就这样?
Get your family's blessing	得到了家人的祝福之后
and everything should go back to normal.	一切应该就会恢复原样
But you've gotta do it by sunrise.	但是你必须要在日出前搞定
What happens at sunrise?	那如果是在日出以后呢?
Híjole, your hand!	我的天啊 你的手!
Huh!	啊!
Whoa, Miguel. Can't have you fainting on us.	米格 现在可不能晕
But not to worry.	不过不用担心
Your family is here.	你全家人都在这
You can get your blessing right now.	你现在就可以获得祝福
Cempasuchil, cempasuchil.	万寿菊花瓣 万寿菊花瓣
Perdón, señora.	恕我失礼 夫人
Now, you look at the living and say his name.	现在 你看着他说出他的名字
Miguel.	米格
Nailed it.	就是这样
Now say, "I give you my blessing."	现在说 我把祝福送给你
I give you my blessing.	我把祝福送给你
I give you my blessing to go home...	让你回家...
To put my photo back on the ofrenda...	然后把我的照片放回到灵坛上...
And to never play music again.	并且永远也不许碰音乐
What? She can't do that!	什么?她不能这么做!
Well, technically, she can add any condition she wants.	理论上来说 只要她想的话 她就可以加条件
Fine.	好吧
Then you hand the petal to Miguel.	现在把花瓣交给他
Ha!	哈
No skeletons.	没有骷髅了
Mariachi Plaza, here I come.	马里亚奇广场 我来啦
Two seconds and you already break your promise.	才过了两秒 你就忘了答应我什么了
This isn't fair, it's my life.	这不公平 这是我的人生
You already had yours.	你们都活过一次了
Papá Julio, I ask for your blessing.	胡里奥太爷爷 我需要你的祝福
Tía Rosita?	罗西塔姨奶奶 你来?
Oscar?	奥斯卡舅爷爷?
Felipe?	费利佩舅爷爷?
Tía Victoria?	维多利亚姨奶奶?
Don't make this hard, mijo.	别把事情搞复杂了 我亲爱的孩子
You go home my way, or no way.	想回家就得听我的话
You really hate music that much?	你就这么讨厌音乐吗?
I will not let you go down the same path he did.	我绝不能让你走曾曾爷爷的老路
The same path he did.	曾曾爷爷的老路
He's family.	原来德拉库斯是我曾曾爷爷
Listen to your Mamá Imelda.	听伊梅尔达曾曾奶奶的话
She's just looking out for you.	她是为了你好啊
Be reasonable.	要乖哦
Con permiso, I need to visit the rest room.	抱歉 我要得去一下厕所
Be right back.	马上回来
